PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabinletter
1,0,3,male,22.0,1,0,7.25,S,Missing
2,1,1,female,38.0,1,0,71.2833,C,C
3,1,3,female,26.0,0,0,7.925,S,Missing
4,1,1,female,35.0,1,0,53.1,S,C
5,0,3,male,35.0,0,0,8.05,S,Missing
6,0,3,male,51.0,0,0,8.4583,Q,Missing
7,0,1,male,54.0,0,0,51.8625,S,E
8,0,3,male,2.0,3,1,21.075,S,Missing
9,1,3,female,27.0,0,2,11.1333,S,Missing
10,1,2,female,14.0,1,0,30.0708,C,Missing
11,1,3,female,4.0,1,1,16.7,S,G
12,1,1,female,58.0,0,0,26.55,S,C
13,0,3,male,20.0,0,0,8.05,S,Missing
14,0,3,male,39.0,1,5,31.275,S,Missing
15,0,3,female,14.0,0,0,7.8542,S,Missing
16,1,2,female,55.0,0,0,16.0,S,Missing
17,0,3,male,2.0,4,1,29.125,Q,Missing
18,1,2,male,51.0,0,0,13.0,S,Missing
19,0,3,female,31.0,1,0,18.0,S,Missing
20,1,3,female,51.0,0,0,7.225,C,Missing
21,0,2,male,35.0,0,0,26.0,S,Missing
22,1,2,male,34.0,0,0,13.0,S,D
23,1,3,female,15.0,0,0,8.0292,Q,Missing
24,1,1,male,28.0,0,0,35.5,S,A
25,0,3,female,8.0,3,1,21.075,S,Missing
26,1,3,female,38.0,1,5,31.3875,S,Missing
27,0,3,male,51.0,0,0,7.225,C,Missing
28,0,1,male,19.0,3,2,263.0,S,C
29,1,3,female,51.0,0,0,7.8792,Q,Missing
30,0,3,male,51.0,0,0,7.8958,S,Missing
31,0,1,male,40.0,0,0,27.7208,C,Missing
32,1,1,female,51.0,1,0,146.5208,C,B
33,1,3,female,51.0,0,0,7.75,Q,Missing
34,0,2,male,66.0,0,0,10.5,S,Missing
35,0,1,male,28.0,1,0,82.1708,C,Missing
36,0,1,male,42.0,1,0,52.0,S,Missing
37,1,3,male,51.0,0,0,7.2292,C,Missing
38,0,3,male,21.0,0,0,8.05,S,Missing
39,0,3,female,18.0,2,0,18.0,S,Missing
40,1,3,female,14.0,1,0,11.2417,C,Missing
41,0,3,female,40.0,1,0,9.475,S,Missing
42,0,2,female,27.0,1,0,21.0,S,Missing
43,0,3,male,51.0,0,0,7.8958,C,Missing
44,1,2,female,3.0,1,2,41.5792,C,Missing
45,1,3,female,19.0,0,0,7.8792,Q,Missing
46,0,3,male,51.0,0,0,8.05,S,Missing
47,0,3,male,51.0,1,0,15.5,Q,Missing
48,1,3,female,51.0,0,0,7.75,Q,Missing
49,0,3,male,51.0,2,0,21.6792,C,Missing
50,0,3,female,18.0,1,0,17.8,S,Missing
51,0,3,male,7.0,4,1,39.6875,S,Missing
52,0,3,male,21.0,0,0,7.8,S,Missing
53,1,1,female,49.0,1,0,76.7292,C,D
54,1,2,female,29.0,1,0,26.0,S,Missing
55,0,1,male,65.0,0,1,61.9792,C,B
56,1,1,male,51.0,0,0,35.5,S,C
57,1,2,female,21.0,0,0,10.5,S,Missing
58,0,3,male,28.5,0,0,7.2292,C,Missing
